item_ja	item_en	hscode
アーモンド	Almond	0802129000
アーモンドミルク	Almond Milk	2009899999
アイシャドウ	Eyeshadow	3304200000
アイブロウペンシル	Eyebrow Pencil	3304200000
アイマスク	Eye Mask	6307909899
アイライナー	Eyeliner	3304200000
アイラッシュカーラー	Eyelash Curler	9615900000
アイロン	Clothing Iron	8451300000
青汁（糖が添加されているもの）	Green Juice (Containing added sugar)	2009905180
青汁（糖が添加されていないもの）	Green Juice (Not containing added sugar)	2009905990
青のり	Green Laver	1212210000
アクリルスタンド	Acrylic Stand Figure	9503002190
アコースティックギター	Acoustic Guitar	9202903000
あずき	Red Bean	0713320000
アスピリン	Aspirin	3004900000
アダプター	Adapter	8471900000
圧縮バッグ	Compression bag	4202929890
油絵具	Oil Color	3213100000
甘栗	Baked Chestnut	2008199980
編針	Knitting Needles	7319901000
飴	Candy	1704909919
あられ	Rice Cracker	1904103000
アルコールティッシュ	Alcohol Tissue	3808949090
アルバム	Album	4820500000
アルミホイル	Aluminum Foil	7615108090
泡盛	Awamori Liquor	2208905600
あんこ	Sweet Bean Paste	1704907100
安全ピン	Safety Pin	7319400000
アンプ	Amplifier	8518500090
胃薬	Stomach Medicine	3004900000
遺骨	Ashes	9919000040
胃腸薬	Digestive Medicine	3004900000
一輪車	Unicycle	8712007010
位牌	Mortuary Tablet	9702900090
芋けんぴ	Sweet Potato Snack	2008996799
イヤホン	Earphone	8518300090
イヤリング	Earring	7117900000
色鉛筆	Color Pencil	9609109000
インク	Ink	3215907090
インスタントカメラ	Instant Camera	9006400000
インスタントカレー	Instant Curry	2106909855
インスタントコーヒー	Instant Coffee	0901210000
インスタントスープ	Instant Soup	2104100089
インスタントティー	Instant Tea	0902300000
インスタント麺	Instant Noodle	1902301030
インソール（中敷き）	Insoles	6406909090
ウーロン茶	Oolong Tea	0902400000
ウィッグ	Wig	6704190000
ウエストポーチ	Waist Pouch	4202290000
ウェットティッシュ	Wet Wipes	3401190000
ウエハース（一般的なもの）	Wafer	1905329900
ウエハース（チョコレートで覆われているもの）	Wafer (Covered with chocolate)	1905321900
ウォッカ	Vodka	2208601100
浮き（釣具）	Float	9507900000
うちわ	Round Fan	4421910000
腕時計	Wrist Watch	9102990000
うどん	Wheat Noodle	1902199090
うに	Sea Urchin Egg	0308210000
梅干し	Pickled Plum	2008997880
羽毛布団	Down quilt	9404401000
絵	Picture	9701990000
HDD	HDD	8471705000
えいひれ	Ray fin	0305790049
栄養剤	Nourishment	2106909855
液体石けん	Liquid Soap	3401300000
液体ミルク	Liquid Baby Formula	1901100000
SSD	SSD	8523519000
SDカード	SD card	8523519000
絵具	Painting Color	3213900000
エフェクター	Effector	9209920000
エプロン（綿）	Apron (cotton)	6211421000
エプロン（人造繊維）	Apron (man-made fibers)	6211431000
絵本	Picture Book	4903000000
LEDライト	LED light	9405423990
LPレコード	LP Record	8523809000
エレキギター	Electronic Guitar	9207901000
エレキベース	Electronic Bass	9207909000
鉛筆	Pencil	9609109000
鉛筆削り	Pencil Sharpener	8214100000
エンブレム	Emblem	8306290000
オーツミルク	Oats Milk	1901909100
オーナメント（プラスチック製）	Ornament (plastic)	3926400000
オーブン	Oven	8417209000
おかき	Rice Cracker	1904103000
置時計	Clock	9105190000
置物（プラスチック製）	Ornament (plastic)	3926400000
置物（木製）	Ornament (wood)	4420190000
置物（陶磁器製）	Ornament (ceramic)	6913901090
お香	Incense	3307490090
おしりふき	Baby Wipes	4818909000
おしろい	Face Powder	3304910000
おたま	Ladle	3924100011
お茶漬け	Ochazuke	2104100089
おちょこ	Cup	6912002111
お手玉	Juggling Ball	9506699000
帯	Belt	6107910000
おふだ	Talisman	4911990000
お守り	Talisman	5212111090
おむつ	Diaper	9619008900
おもり	Weight	9507900000
折り紙	Origami Paper	4823908580
折りたたみ傘	Folding Umbrella	6601910000
織物（絹）	Textile Fabric (silk)	5007901090
織物（羊毛等）	Textile Fabric (wool and others)	5111909100
織物（綿）	Textile Fabric (cotton)	5212119090
織物（人造繊維）	Textile Fabric (man-made fibers)	5516910000
オルゴール	Music Box	9208100000
お椀	Bowl	4419900000
音楽プレーヤー	Music Player	8527910000
温度計	Thermometer	9025190090
カーディガン（男性用 羊毛）	Cardigan (for men, wool)	6110113000
カーディガン（男性用 カシミヤ毛）	Cardigan (for men, cashmere)	6110121090
カーディガン（男性用 綿）	Cardigan (for men, cotton)	6110209100
カーディガン（男性用 人造繊維）	Cardigan (for men, man-made fibers)	6110309100
カーディガン（男性用 その他繊維素材）	Cardigan (for men, other textile materials)	6110909090
カーディガン（女性用 羊毛）	Cardigan (for women, wool)	6110119000
カーディガン（女性用 カシミヤ毛）	Cardigan (for women, cashmere)	6110129090
カーディガン（女性用 綿）	Cardigan (for women, cotton)	6110209900
カーディガン（女性用 人造繊維）	Cardigan (for women, man-made fibers)	6110309900
カーディガン（女性用 その他繊維素材）	Cardigan (for women, other textile materials)	6110909090
カーテン（合成繊維）	Curtain (synthetic fibers)	6303929090
カーテン（綿）	Curtain (cotton)	6303910099
カーテン（羊毛）	Curtain (wool)	6303999039
カーテン（その他）	Curtain (other)	6303999090
カード	Card	9504400000
カードケース	Card Case	9504908000
カードゲーム	Playing Card	9504400000
カードスリーブ	Card Sleeve	9504908000
カーナビ	Car Navigation Devices	8527219800
カーペット	Carpet	5703908090
貝細工	Shell Work	9601100010
懐中電灯	Flashlight	8513100000
ガイドブック	Guidebook	4901990000
貝柱	Scallops	0307299090
会報	Newsletter	4902900000
カイロ（使い捨て）	Disposable Heat Pad	3824999699
鏡	Mirror	7009920000
鍵	Key	8301401900
楽譜	Music Score	4904000000
額縁	Picture Frame	4414900000
掛け軸	Scroll Painting	9701910000
掛時計	Wall Clock	9105290000
傘	Umbrella	6601999000
加湿器	Humidifier	8516108000
カシューナッツ	Cashewnut	0801310000
画集	Art Book	4901990000
カステラ	Sponge Cake	1905908000
ガスなし	No Gas	-
